gender,field,uses_ai,frequency,ai_course,technical,practical,critical,overall_label,technical_level,practical_level,critical_level
0,1,1,4,0,3.1001225107999346,2.722759368905563,3.0263912618618027,Moderate,Medium,Medium,Medium
1,1,0,1,0,2.2211079652629255,2.2003030659399494,2.283171447629325,Beginner,Low,Low,Low
1,0,1,2,0,2.4637737101762665,2.476065668684415,2.5591558181760115,Beginner,Low,Low,Low
0,0,1,3,0,2.651295770779589,2.5081191461042267,2.502258049374719,Beginner,Medium,Low,Low
1,0,1,2,0,2.4025947436367523,2.688536192631908,2.2548294488550016,Beginner,Low,Medium,Low
1,1,0,1,0,2.555813630236617,2.4984103175209746,2.461319234880765,Beginner,Low,Low,Low
1,1,1,1,1,2.7913133078067465,2.4783288306631603,2.544347734255584,Moderate,Medium,Low,Low
0,2,1,3,0,3.3147288021659995,3.3188633720735234,3.213895732964292,Moderate,Medium,Medium,Medium
1,0,1,3,0,2.6646037018815436,2.9826236325589437,2.567038775727668,Moderate,Medium,Medium,Low
1,0,1,2,0,2.8510081529059246,2.990975910703431,2.7595253105254,Moderate,Medium,Medium,Medium
0,0,1,1,0,1.6828731858904633,1.6550813605477477,1.4781749286350092,Beginner,Low,Low,Low
0,1,1,4,0,3.2509778146785675,3.436641239791473,3.5679889040729176,Advanced,Medium,High,High
1,1,1,3,0,3.5466692988558997,3.4497009307760176,3.646183740619728,Advanced,High,High,High
0,0,1,0,0,1.0691035887777534,1.0,1.0,Beginner,Low,Low,Low
1,0,0,0,0,1.5898797088794347,1.7589297004397795,1.384434104103099,Beginner,Low,Low,Low
0,0,1,0,0,1.5496670517686557,1.4646691176892122,1.4324105584308675,Beginner,Low,Low,Low
0,0,0,3,0,3.5939742323521533,3.304753660357693,3.209779714916082,Moderate,High,Medium,Medium
0,1,1,3,1,4.087523526466256,4.076854662345824,4.241060454275123,Advanced,High,High,High
0,0,0,3,0,2.725144133817805,2.808206463911609,3.1347442552463898,Moderate,Medium,Medium,Medium
0,0,1,1,0,2.425425687903672,2.2918923208871207,1.962065623746539,Beginner,Low,Low,Low
1,0,1,1,1,2.310636824821688,2.486938247994912,2.317325298894343,Beginner,Low,Low,Low
0,0,1,2,0,2.530855523604049,2.706809676923873,2.796737507806464,Moderate,Low,Medium,Medium
1,0,0,2,1,2.6855973790485987,2.3284940821678184,2.7437499278597643,Beginner,Medium,Low,Medium
0,0,1,0,0,1.1387424710735847,1.5346878417347631,1.552924709182134,Beginner,Low,Low,Low
1,1,0,2,0,2.562223633000713,2.859594070981154,2.9445535779998284,Moderate,Low,Medium,Medium
1,1,1,0,0,1.4711724886265738,1.28547529463231,1.67351442000815,Beginner,Low,Low,Low
0,1,0,3,1,3.9108284469250494,3.6722678368665678,3.9181702423162235,Advanced,High,High,High
0,0,1,2,0,2.531528546419405,2.6390477598293876,2.8656202665698314,Moderate,Low,Medium,Medium
1,0,1,1,0,1.4557421168169427,1.7823048467817,2.0481349078611455,Beginner,Low,Low,Low
1,1,1,0,0,1.6440194444020135,1.511958390652962,1.4075852784971723,Beginner,Low,Low,Low
1,1,1,3,0,3.5317033499936956,3.484181789373492,3.5758576620404616,Advanced,High,High,High
1,0,1,0,0,1.6762105596566432,1.4712764440822625,1.2428714846773088,Beginner,Low,Low,Low
0,0,1,3,0,2.329400309645623,2.4345416591113915,2.6721062846056722,Beginner,Low,Low,Medium
1,2,1,2,0,2.1328239049161386,2.312286561182894,2.798910722855876,Beginner,Low,Low,Medium
1,2,1,0,0,2.2434590769340206,1.6478225264109432,2.281932039188492,Beginner,Low,Low,Low
1,1,0,0,0,2.229707041300198,2.0134780877932954,1.690968913750984,Beginner,Low,Low,Low
0,0,1,4,0,3.2517311397167337,3.4872526092444014,3.1833190508085645,Moderate,Medium,High,Medium
1,0,1,0,0,2.058010736909739,2.1015518701105376,2.3135221005217055,Beginner,Low,Low,Low
0,1,1,4,0,3.762555742872107,3.4166330616444878,3.376811182026927,Advanced,High,High,Medium
1,0,0,2,0,2.5108185336538194,3.0800479414206334,2.5728233390458035,Moderate,Low,Medium,Low
1,1,1,3,0,3.2220523059505366,3.2408149268600996,3.157654642849282,Moderate,Medium,Medium,Medium
0,0,0,0,0,2.0888381782230456,1.9096935362871452,1.8737013962258848,Beginner,Low,Low,Low
1,0,1,4,0,3.7148843924000983,3.417939886734774,3.274909999831734,Advanced,High,High,Medium
0,1,1,4,0,3.4712212948729957,3.5166490987450763,3.6162813108339154,Advanced,High,High,High
0,0,0,3,0,3.2057658008426078,3.1722572254604517,3.173102363902877,Moderate,Medium,Medium,Medium
0,2,1,1,0,2.1680348575161754,2.1300405155360087,2.278848404860921,Beginner,Low,Low,Low
